Band	HGNC symbol	Gene Start (bp)	Gene End (bp)	Chromosome Name
q33.3	ZDBF2	206274663	206314428	2
q33.3	ADAM23	206443539	206621130	2
q33.3	DYTN	206651621	206718396	2
q33.3	MDH1B	206737763	206765547	2
q33.3	FASTKD2	206765357	206792509	2
q33.3	MIR3130-1	206783234	206783308	2
q33.3	MIR3130-2	206783234	206783308	2
q33.3	CPO	206939554	206969474	2
q33.3	KLF7	207074137	207167267	2
q33.3	MIR2355	207109987	207110073	2
q33.3	CREB1	207529737	207603431	2
q33.3	METTL21A	207580631	207625928	2
q33.3	CCNYL1	207711540	207761839	2
q33.3	FZD5	207762586	207769563	2
q33.3	PLEKHM3	207821288	208025560	2
q33.3	CRYGD	208121607	208124501	2
q33.3	CRYGC	208128137	208129830	2
q33.3	CRYGB	208142573	208146168	2
q33.3	CRYGA	208160740	208163576	2
q33.3	C2orf80	208165343	208190073	2
q34	IDH1	208236227	208266074	2
q34	PIKFYVE	208266267	208358751	2
q34	PTH2R	208359714	208854503	2
q34	MAP2	209424058	209734118	2
q34	UNC80	209771993	209999300	2
q34	RPE	210002565	210022259	2
q34	KANSL1L	210021423	210171383	2
q34	ACADL	210187939	210225491	2
q34	MYL1	210290150	210315190	2
q34	LANCL1	210431249	210477652	2
q34	CPS1	210477682	210679107	2
q34	CPS1-IT1	210617571	210619876	2
q34	ERBB4	211375717	212538841	2
q34	MIR548F2	212426263	212426360	2
q34	MIR4776-2	212926257	212926336	2
q34	MIR4776-1	212926257	212926336	2
q34	IKZF2	212999691	213152427	2
q34	SPAG16	213284379	214410501	2
q34	VWC2L	214411065	214578959	2
q35	BARD1	214725646	214809711	2
q35	ABCA12	214931542	215138428	2
q35	ATIC	215311817	215349773	2
q35	FN1	215360440	215436172	2
q35	MREG	215942805	216034096	2
q35	PECR	215996329	216082955	2
q35	TMEM169	216081866	216102783	2
q35	XRCC5	216107464	216206303	2
q35	MARCH4	216257865	216372027	2
q35	SMARCAL1	216412414	216483053	2
q35	RPL37A	216498189	216579180	2
q35	IGFBP2	216632828	216664436	2
q35	IGFBP5	216672105	216695525	2
q35	TNP1	216859458	216860064	2
q35	DIRC3	217284019	217756593	2
q35	TNS1	217799789	218002995	2
q35	RUFY4	218034960	218090581	2
q35	CXCR2P1	218059155	218065729	2
q35	CXCR2	218125289	218137253	2
q35	CXCR1	218162845	218166995	2
q35	ARPC2	218217094	218254356	2
q35	GPBAR1	218259496	218263859	2
q35	AAMP	218264123	218270257	2
q35	PNKD	218270392	218346793	2
q35	TMBIM1	218274192	218292586	2
q35	SLC11A1	218382029	218396894	2
q35	CTDSP1	218398256	218405941	2
q35	MIR26B	218402646	218402722	2
q35	VIL1	218419092	218453295	2
q35	USP37	218450251	218568361	2
q35	PLCD4	218607765	218637184	2
q35	ZNF142	218637916	218659655	2
q35	BCS1L	218658764	218663443	2
q35	RNF25	218663864	218672411	2
q35	STK36	218672026	218702716	2
q35	TTLL4	218710845	218755416	2
q35	CYP27A1	218781749	218815293	2
q35	PRKAG3	218822383	218832086	2
q35	WNT6	218859821	218874233	2
q35	WNT10A	218880363	218899581	2
q35	CDK5R2	218959655	218962162	2
q35	FEV	218981087	218985657	2
q35	CRYBA2	218990189	218993421	2
q35	MIR375	219001645	219001708	2
q35	IHH	219054420	219060467	2
q35	MIR3131	219058688	219058750	2
q35	NHEJ1	219075317	219160865	2
q35	SLC23A3	219161465	219170095	2
q35	CNPPD1	219171897	219178106	2
q35	FAM134A	219176225	219185479	2
q35	ZFAND2B	219195237	219209651	2
q35	ABCB6	219209768	219218990	2
q35	ATG9A	219209772	219229717	2
q35	ANKZF1	219229757	219236669	2
q35	GLB1L	219236606	219245478	2
q35	STK16	219245455	219250337	2
q35	TUBA4A	219249711	219278170	2
q35	TUBA4B	219253243	219272188	2
q35	DNAJB2	219279267	219286900	2
q35	PTPRN	219289623	219309648	2
q35	MIR153-1	219294111	219294200	2
q35	RESP18	219327409	219333177	2
q35	DNPEP	219373546	219400022	2
q35	DES	219418377	219426739	2
q35	SPEG	219434846	219498287	2
q35	GMPPA	219498867	219506989	2
q35	CHPF	219538947	219543787	2
q35	TMEM198	219543663	219550595	2
q35	MIR3132	219549073	219549147	2
q35	OBSL1	219550729	219571859	2
q35	INHA	219569162	219575713	2
q35	STK11IP	219597860	219616451	2
q35	SLC4A3	219627327	219641980	2
q35	MIR4268	219906502	219906565	2
q36.1	EPHA4	221418027	221574202	2
q36.1	PAX3	222199888	222298996	2
q36.1	CCDC140	222298147	222305217	2
q36.1	SGPP2	222424517	222560948	2
q36.1	FARSB	222570536	222656337	2
q36.1	MOGAT1	222671786	222709930	2
q36.1	ACSL3	222860934	222944639	2
q36.1	KCNE4	223051814	223198399	2
q36.1	SCG2	223596940	223602503	2
q36.1	AP1S3	223751686	223838027	2
q36.1	WDFY1	223855716	223945387	2
q36.1	MRPL44	223957404	223967714	2
q36.1	SERPINE2	223975112	224039319	2
q36.2	FAM124B	224378698	224402085	2
q36.2	CUL3	224470150	224585397	2
q36.2	DOCK10	224765090	225042445	2
q36.2	MIR4439	225010461	225010540	2
q36.3	NYAP2	225399710	225654018	2
q36.3	IRS1	226731317	226799759	2
q36.3	RHBDD1	226835581	226999215	2
q36.3	COL4A4	227002711	227164113	2
q36.3	COL4A3	227164565	227314792	2
q36.3	MFF	227325151	227357836	2
q36.3	TM4SF20	227362156	227381995	2
q36.3	AGFG1	227472152	227561214	2
q36.3	C2orf83	227610090	227633320	2
q36.3	SLC19A3	227685210	227718012	2
q36.3	CCL20	227813842	227817564	2
q36.3	SPHKAP	227979950	228181645	2
q36.3	PID1	228850526	229271285	2
q36.3	DNER	229357629	229714558	2
q36.3	TRIP12	229763838	229923239	2
q36.3	FBXO36	229922302	230013109	2
q36.3	SLC16A14	230034974	230068999	2
q37.1	SP110	230167293	230225729	2
q37.1	SP140	230203110	230313215	2
q37.1	SP140L	230327184	230403732	2
q37.1	SP100	230415942	230544090	2
q37.1	CAB39	230712845	230821075	2
q37.1	ITM2C	230864639	230879248	2
q37.1	GPR55	230907318	230961066	2
q37.1	SPATA3	230996121	231025055	2
q37.1	C2orf72	231037490	231049719	2
q37.1	PSMD1	231056864	231172827	2
q37.1	HTR2B	231108230	231125118	2
q37.1	ARMC9	231198546	231374837	2
q37.1	MIR4777	231362708	231362793	2
q37.1	B3GNT7	231395543	231401164	2
q37.1	NCL	231453531	231483641	2
q37.1	SNORA75	231455800	231455936	2
q37.1	SNORD20	231456444	231456523	2
q37.1	SNORD82	231460371	231460440	2
q37.1	LINC00471	231508426	231514339	2
q37.1	NMUR1	231523160	231530495	2
q37.1	C2orf57	231592901	231594283	2
q37.1	PTMA	231706895	231713541	2
q37.1	PDE6D	231732425	231786272	2
q37.1	COPS7B	231781671	231809254	2
q37.1	MIR1471	231892242	231892298	2
q37.1	NPPC	231921820	231926403	2
q37.1	DIS3L2	231961245	232344350	2
q37.1	ALPP	232378534	232382889	2
q37.1	ECEL1P2	232385750	232387457	2
q37.1	ALPPL2	232406843	232410714	2
q37.1	ALPI	232456123	232460032	2
q37.1	ECEL1	232479827	232487828	2
q37.1	PRSS56	232520463	232525716	2
q37.1	CHRND	232525993	232536667	2
q37.1	CHRNG	232539727	232546403	2
q37.1	TIGD1	232547968	232550592	2
q37.1	EIF4E2	232550052	232583644	2
q37.1	EFHD1	232606057	232682781	2
q37.1	GIGYF2	232697299	232860575	2
q37.1	KCNJ13	232766464	232776568	2
q37.1	C2orf82	232857270	232878708	2
q37.1	NGEF	232878686	233013272	2
q37.1	NEU2	233032672	233035057	2
q37.1	INPP5D	233059967	233207903	2
q37.1	ATG16L1	233210051	233295674	2
q37.1	SCARNA5	233275727	233276002	2
q37.1	SCARNA6	233288676	233288940	2
q37.1	SAG	233307816	233347055	2
q37.1	DGKD	233354507	233472104	2
q37.1	USP40	233475520	233566782	2
q37.1	UGT1A8	233617645	233773310	2
q37.1	UGT1A10	233636454	233773305	2
q37.1	UGT1A9	233671853	233773300	2
q37.1	UGT1A7	233681938	233773299	2
q37.1	UGT1A6	233691607	233773300	2
q37.1	UGT1A5	233712992	233773299	2
q37.1	UGT1A4	233718778	233773299	2
q37.1	UGT1A3	233729108	233773299	2
q37.1	DNAJB3	233742750	233744015	2
q37.1	UGT1A1	233760248	233773299	2
q37.1	HJURP	233833416	233854566	2
q37.1	MSL3P1	233865437	233868444	2
q37.1	TRPM8	233917398	234019522	2
q37.1	SPP2	234050679	234077134	2
q37.1	ARL4C	234493041	234497053	2
q37.2	SH3BP4	234951973	235055714	2
q37.2	AGAP1	235494089	236131800	2
q37.2	GBX2	236165236	236168369	2
q37.2	ASB18	236194872	236264409	2
q37.3	IQCA1	236324147	236507542	2
q37.3	COPS8	237085312	237100466	2
q37.3	COL6A3	237324003	237414375	2
q37.3	MLPH	237485428	237555318	2
q37.3	PRLH	237566574	237567175	2
q37.3	RAB17	237574322	237601614	2
q37.3	LRRFIP1	237627576	237813682	2
q37.3	RBM44	237798389	237842808	2
q37.3	RAMP1	237858893	237912114	2
q37.3	UBE2F	237966827	238042782	2
q37.3	UBE2F-SCLY	237967014	238099412	2
q37.3	SCLY	238060889	238099413	2
q37.3	ESPNL	238100157	238133287	2
q37.3	KLHL30	238138722	238152947	2
q37.3	ILKAP	238170401	238203729	2
q37.3	HES6	238238267	238240662	2
q37.3	PER2	238244038	238290102	2
q37.3	TRAF3IP1	238320441	238400900	2
q37.3	ASB1	238426742	238452250	2
q37.3	TWIST2	238848032	238910543	2
q37.3	HDAC4	239048168	239401654	2
q37.3	MIR4440	239068817	239068914	2
q37.3	MIR4441	239085827	239085926	2
q37.3	MIR4269	239305462	239305545	2
q37.3	MIR2467	239351724	239351804	2
q37.3	NDUFA10	239892450	240025402	2
q37.3	MIR4786	239943015	239943094	2
q37.3	OR6B2	240028965	240030456	2
q37.3	PRR21	240041813	240042982	2
q37.3	OR6B3	240045077	240046072	2
q37.3	OTOS	240139026	240144562	2
q37.3	GPC1	240435671	240468078	2
q37.3	MIR149	240456001	240456089	2
q37.3	ANKMY1	240479422	240569209	2
q37.3	DUSP28	240560054	240564014	2
q37.3	RNPEPL1	240565804	240581372	2
q37.3	CAPN10	240586716	240617705	2
q37.3	GPR35	240605431	240631259	2
q37.3	AQP12B	240676418	240682906	2
q37.3	AQP12A	240691845	240698483	2
q37.3	KIF1A	240713764	240820308	2
q37.3	AGXT	240868479	240880502	2
q37.3	C2orf54	240886048	240896889	2
q37.3	SNED1	240998838	241095568	2
q37.3	PASK	241106099	241150264	2
q37.3	PPP1R7	241149576	241183652	2
q37.3	ANO7	241188509	241225377	2
q37.3	HDLBP	241227264	241317061	2
q37.3	SEPT2	241315100	241354027	2
q37.3	FARP2	241356243	241494841	2
q37.3	STK25	241492674	241509730	2
q37.3	BOK-AS1	241544403	241558977	2
q37.3	BOK	241558721	241574138	2
q37.3	THAP4	241584405	241637449	2
q37.3	ATG4B	241637213	241673857	2
q37.3	DTYMK	241675742	241686991	2
q37.3	ING5	241687085	241729478	2
q37.3	D2HGDH	241734579	241768816	2
q37.3	GAL3ST2	241776825	241804208	2
q37.3	NEU4	241808825	241817413	2
q37.3	PDCD1	241849881	241858908	2
p26.3	CHL1	196596	409417	3
p26.3	CNTN6	1092576	1404217	3
p26.3	CNTN4	2098813	3057956	3
p26.2	IL5RA	3066326	3126613	3
p26.2	TRNT1	3126916	3150879	3
p26.2	CRBN	3148992	3179710	3
p26.1	SUMF1	3700814	4467281	3
p26.2	LRRN1	3799437	3847703	3
p26.1	SETMAR	4303304	4317567	3
p26.1	ITPR1	4493348	4847840	3
p26.1	EGOT	4749192	4751590	3
p26.1	BHLHE40	4979116	4985323	3
p26.1	ARL8B	5122220	5180912	3
p26.1	EDEM1	5187646	5219957	3
p26.1	MIR4790	5250177	5250255	3
p26.1	GRM7	6770001	7741533	3
p25.3	LMCD1	8501707	8574673	3
p25.3	CAV3	8733800	8841808	3
p25.3	OXTR	8750408	8769628	3
p25.3	RAD18	8775402	8963773	3
p25.3	SRGAP3	8980591	9363053	3
p25.3	THUMPD3	9362842	9386791	3
p25.3	SETD5	9397615	9479240	3
p25.3	LHFPL4	9498361	9553802	3
p25.3	MTMR14	9649433	9702393	3
p25.3	CPNE9	9703807	9729908	3
p25.3	BRPF1	9731729	9748018	3
p25.3	OGG1	9749944	9788219	3
p25.3	CAMK1	9757342	9769992	3
p25.3	TADA3	9779860	9793011	3
p25.3	ARPC4	9792495	9807726	3
p25.3	ARPC4-TTLL3	9793082	9835401	3
p25.3	TTLL3	9808086	9855138	3
p25.3	RPUSD3	9837849	9844602	3
p25.3	CIDEC	9866711	9880254	3
p25.3	JAGN1	9890554	9894349	3
p25.3	IL17RE	9902612	9916402	3
p25.3	IL17RC	9917074	9933630	3
p25.3	CRELD1	9933822	9945413	3
p25.3	PRRT3	9945542	9952394	3
p25.3	CIDECP	10014238	10026365	3
p25.3	FANCD2	10026414	10101930	3
p25.3	BRK1	10115592	10127190	3
p25.3	VHL	10141008	10152220	3
p25.3	IRAK2	10164865	10243743	3
p25.3	TATDN2	10248023	10281218	3
p25.3	GHRL	10285675	10292947	3
p25.3	GHRLOS	10285754	10293449	3
p25.3	SEC13	10293131	10321178	3
p25.3	ATP2B2	10324023	10708031	3
p25.3	MIR885	10394489	10394562	3
p25.3	SLC6A11	10816200	10940733	3
p25.3	SLC6A1	10992724	11039247	3
p25.3	HRH1	11137093	11263557	3
p25.3	ATG7	11272309	11557665	3
p25.2	VGLL4	11556070	11771350	3
p25.2	TAMM41	11790442	11846919	3
p25.2	SYN2	12004402	12191400	3
p25.2	TIMP4	12153051	12159351	3
p25.2	PPARG	12287368	12434356	3
p25.2	TSEN2	12484432	12539623	3
p25.2	MKRN2	12557014	12583713	3
p25.2	RAF1	12583601	12664226	3
p25.2	TMEM40	12733525	12769457	3
p25.2	CAND2	12796472	12871916	3
p25.2	RPL32	12834485	12841588	3
p25.2	SNORA7A	12840312	12840450	3
p25.2	IQSEC1	12897220	13073117	3
p25.1	NUP210	13316235	13420309	3
p25.1	HDAC11	13479724	13506424	3
p25.1	FBLN2	13549131	13638422	3
p25.1	WNT7A	13816258	13880121	3
p25.1	TPRXL	13937273	14082811	3
p25.1	CHCHD4	14112077	14124870	3
p25.1	TMEM43	14124940	14143679	3
p25.1	XPC	14145147	14178783	3
p25.1	LSM3	14178358	14201119	3
p25.1	SLC6A6	14402576	14489349	3
p25.1	GRIP2	14489111	14556075	3
p25.1	C3orf20	14675099	14773034	3
p25.1	FGD5	14818962	14934565	3
p25.1	FGD5-AS1	14920347	14948424	3
p25.1	NR2C2	14947584	15053600	3
p25.1	MRPS25	15042460	15065335	3
p25.1	COL6A4P1	15151833	15205959	3
p25.1	CAPN7	15206152	15252918	3
p25.1	SH3BP5	15254853	15341368	3
p25.1	METTL6	15381275	15440566	3
p25.1	EAF1	15427355	15450635	3
p25.1	COLQ	15450133	15521751	3
p25.1	MIR4270	15496239	15496308	3
p25.1	HACL1	15560704	15601852	3
p25.1	BTD	15601341	15645822	3
p25.1	ANKRD28	15667236	15859771	3
p25.1	MIR3134	15697298	15697371	3
p25.1	MIR563	15873771	15873849	3
p25.1	DPH3	16257978	16264972	3
p25.1	OXNAD1	16265160	16350299	3
p24.3	RFTN1	16313574	16514026	3
p24.3	DAZL	16586792	16670306	3
p24.3	PLCL2	16802651	17090594	3
p24.3	TBC1D5	17157162	18444817	3
p24.3	SATB1	18345387	18445588	3
p24.3	KCNH8	19148454	19535646	3
p24.3	MIR4791	19314848	19314931	3
p24.3	EFHB	19879472	19947025	3
p24.3	RAB5A	19947079	19985175	3
p24.3	PP2D1	19979961	20012330	3
p24.3	KAT2B	20040023	20154404	3
p24.3	VENTXP7	21405737	21406508	3
p24.3	ZNF385D	21412222	22373321	3
p24.3	UBE2E2	23203020	23591793	3
p24.2	UBE2E1	23805903	23891316	3
p24.2	NKIRAS1	23891660	23946591	3
p24.2	RPL15	23916545	23923692	3
p24.2	NR1D2	23945260	23980618	3
p24.2	THRB	24117160	24495282	3
p24.2	MIR4792	24521362	24521435	3
p24.2	RARB	25174332	25597932	3
p24.2	TOP2B	25597905	25664939	3
p24.2	NGLY1	25718944	25790039	3
p24.2	OXSM	25782917	25794534	3
p24.1	LRRC3B	26622806	26710776	3
p24.1	NEK10	27110085	27369460	3
p24.1	SLC4A7	27372721	27484420	3
p24.1	EOMES	27715949	27722711	3
p24.1	CMC1	28241584	28325142	3
p24.1	AZI2	28315003	28349127	3
p24.1	ZCWPW2	28349146	28538122	3
p24.1	RBMS3	28574791	30010391	3
p24.1	TGFBR2	30606502	30694142	3
p23	GADL1	30726200	30894765	3
p23	STT3B	31532638	31637622	3
p22.3	OSBPL10	31657890	32077580	3
p23	ZNF860	31981771	31991628	3
p22.3	GPD1L	32105689	32168713	3
p22.3	CMTM8	32238679	32370325	3
p22.3	CMTM7	32391671	32483067	3
p22.3	CMTM6	32481312	32503408	3
p22.3	DYNC1LI1	32525971	32570874	3
p22.3	CNOT10	32685145	32773875	3
p22.3	TRIM71	32818018	32897826	3
p22.3	CCR4	32951574	32956349	3
p22.3	GLB1	32996608	33097230	3
p22.3	TMPPE	33090421	33096801	3
p22.3	CRTAP	33113979	33147773	3
p22.3	SUSD5	33150042	33219215	3
p22.3	FBXL2	33277025	33403662	3
p22.3	UBP1	33388336	33441371	3
p22.3	CLASP2	33496245	33718356	3
p22.3	PDCD6IP	33798352	33869707	3
p22.3	ARPP21	35638945	35794496	3
p22.3	MIR128-2	35744476	35744559	3
p22.3	STAC	36380344	36548007	3
p22.2	DCLK3	36712422	36764349	3
p22.2	TRANK1	36826820	36945057	3
p22.2	EPM2AIP1	36985043	36993168	3
p22.2	MLH1	36993332	37050918	3
p22.2	LRRFIP2	37052656	37183689	3
p22.2	GOLGA4	37243177	37366751	3
p22.2	C3orf35	37386269	37435497	3
p22.2	ITGA9	37452115	37823514	3
p22.2	CTDSPL	37861960	37984469	3
p22.2	MIR26A1	37969404	37969480	3
p22.2	VILL	37988059	38007188	3
p22.2	PLCD1	38007496	38029762	3
p22.2	DLEC1	38039205	38124025	3
p22.2	ACAA1	38103129	38137242	3
p22.2	MYD88	38138478	38143022	3
p22.2	OXSR1	38165089	38255488	3
p22.2	SLC22A13	38265812	38278315	3
p22.2	SLC22A14	38282294	38318575	3
p22.2	XYLB	38346760	38421348	3
p22.2	ACVR2B	38453851	38493142	3
p22.2	EXOG	38496127	38542161	3
p22.2	SCN5A	38548057	38649673	3
p22.2	SCN10A	38696802	38794010	3
p22.2	SCN11A	38845769	38950561	3
p22.2	WDR48	39051998	39096671	3
p22.2	GORASP1	39096659	39108363	3
p22.2	TTC21A	39107704	39138903	3
p22.2	CSRNP1	39141855	39154562	3
p22.2	XIRP1	39183210	39192596	3
p22.2	CX3CR1	39263494	39281735	3
p22.1	CCR8	39329706	39333511	3
p22.1	SLC25A38	39383348	39397351	3
p22.1	RPSA	39406689	39412542	3
p22.1	SNORA6	39408389	39408539	3
p22.1	SNORA62	39411054	39411206	3
p22.1	MOBP	39467198	39529479	3
p22.1	MYRIP	39808914	40260321	3
p22.1	EIF1B	40309684	40312424	3
p22.1	ENTPD3-AS1	40313802	40453329	3
p22.1	ENTPD3	40387156	40428619	3
p22.1	RPL14	40457292	40468587	3
p22.1	ZNF619	40477113	40490236	3
p22.1	ZNF620	40505992	40518736	3
p22.1	ZNF621	40524878	40574685	3
p22.1	CTNNB1	41194837	41260096	3
p22.1	ULK4	41246599	41962430	3
p22.1	TRAK1	42013802	42225889	3
p22.1	CCK	42257825	42266207	3
p22.1	LYZL4	42397078	42410600	3
p22.1	VIPR1	42489299	42537573	3
p22.1	SEC22C	42547969	42601080	3
p22.1	SS18L2	42581840	42595114	3
p22.1	NKTR	42600614	42648741	3
p22.1	ZBTB47	42653684	42665854	3
p22.1	CCDC13	42692663	42773253	3
p22.1	HHATL	42692663	42702827	3
p22.1	HIGD1A	42784298	42804531	3
p22.1	KRBOX1	42809483	42942792	3
p22.1	CYP8B1	42856005	42876165	3
p22.1	ZNF662	42905731	42917641	3
p22.1	FAM198A	42979267	43060211	3
p22.1	SNRK	43286512	43424764	3
p21.33	ANO10	43354859	43691594	3
p21.33	ABHD5	43690113	43734371	3
p21.32	MIR138-1	44114212	44114310	3
p21.31	ZNF445	44431720	44477670	3
p21.31	ZNF660	44578223	44599694	3
p21.31	ZNF197	44584888	44648471	3
p21.31	ZNF35	44648727	44660791	3
p21.31	ZNF502	44712643	44723831	3
p21.31	ZNF501	44729596	44737083	3
p21.31	KIAA1143	44737661	44761662	3
p21.31	KIF15	44761717	44873376	3
p21.31	TMEM42	44861869	44865670	3
p21.31	TGM4	44874608	44914990	3
p21.31	ZDHHC3	44915257	44976185	3
p21.31	EXOSC7	44975241	45036066	3
p21.31	CLEC3B	45001548	45036071	3
p21.31	CDCP1	45082278	45146422	3
p21.31	TMEM158	45224466	45226278	3
p21.31	LARS2	45388506	45549421	3
p21.31	LIMD1	45555394	45686338	3
p21.31	SACM1L	45689056	45745424	3
p21.31	SLC6A20	45755450	45796535	3
p21.31	LZTFL1	45823316	45916042	3
p21.31	CCR9	45886504	45903177	3
p21.31	FYCO1	45917899	45995824	3
p21.31	CXCR6	45940933	45948353	3
p21.31	XCR1	46017024	46027742	3
p21.31	CCR3	46163604	46266706	3
p21.31	CCR1	46201709	46208396	3
p21.31	CCR2	46353734	46360928	3
p21.31	CCR5	46370854	46376206	3
p21.31	CCRL2	46407163	46412997	3
p21.31	LTF	46435645	46485234	3
p21.31	RTP3	46497491	46500949	3
p21.31	LRRC2	46515423	46580099	3
p21.31	TDGF1	46574555	46582463	3
p21.31	ALS2CL	46668997	46693704	3
p21.31	TMIE	46701333	46710886	3
p21.31	PRSS50	46712116	46812574	3
p21.31	PRSS46	46719583	46736429	3
p21.31	PRSS45	46742092	46812558	3
p21.31	PRSS42	46829542	46834095	3
p21.31	MYL3	46857872	46882169	3
p21.31	PTH1R	46877746	46903799	3
p21.31	CCDC12	46921726	46982010	3
p21.31	NBEAL2	46979683	47009703	3
p21.31	NRADDP	47011542	47013146	3
p21.31	SETD2	47016429	47163967	3
p21.31	KIF9	47228026	47283451	3
p21.31	KLHL18	47282917	47346816	3
p21.31	PTPN23	47381011	47413441	3
p21.31	SCAP	47413694	47477126	3
p21.31	CSPG5	47562239	47580792	3
p21.31	SMARCC1	47585272	47782106	3
p21.31	DHX30	47802909	47850195	3
p21.31	MIR1226	47849555	47849629	3
p21.31	MAP4	47850690	48089272	3
p21.31	CDC25A	48157146	48188402	3
p21.31	MIR4443	48196564	48196616	3
p21.31	CAMP	48223347	48225491	3
p21.31	ZNF589	48241100	48299253	3
p21.31	NME6	48293264	48301685	3
p21.31	SPINK8	48306842	48328341	3
p21.31	FBXW12	48372219	48401259	3
p21.31	PLXNB1	48403854	48430051	3
p21.31	CCDC51	48432164	48440456	3
p21.31	ATRIP	48446710	48465716	3
p21.31	TREX1	48465811	48467645	3
p21.31	SHISA5	48467798	48504826	3
p21.31	PFKFB4	48517684	48562015	3
p21.31	UCN2	48561727	48563773	3
p21.31	COL7A1	48564073	48595267	3
p21.31	UQCRC1	48599002	48610976	3
p21.31	TMEM89	48620759	48621855	3
p21.31	SLC26A6	48625723	48635493	3
p21.31	CELSR3	48636469	48662915	3
p21.31	NCKIPSD	48673844	48686364	3
p21.31	IP6K2	48688003	48740353	3
p21.31	PRKAR2A	48744597	48847846	3
p21.31	SLC25A20	48856931	48898993	3
p21.31	ARIH2	48918821	48986382	3
p21.31	P4HTM	48989886	49007154	3
p21.31	WDR6	49007062	49015953	3
p21.31	DALRD3	49015488	49022293	3
p21.31	MIR425	49020148	49020234	3
p21.31	NDUFAF3	49020459	49023495	3
p21.31	MIR191	49020618	49020709	3
p21.31	IMPDH2	49024325	49029408	3
p21.31	QRICH1	49029707	49094363	3
p21.31	QARS	49095932	49105135	3
p21.31	USP19	49108046	49120938	3
p21.31	LAMB2	49121114	49133118	3
p21.31	CCDC71	49162535	49166321	3
p21.31	KLHDC8B	49171611	49176486	3
p21.31	CCDC36	49198428	49258104	3
p21.31	C3orf62	49268602	49277909	3
p21.31	MIR4271	49274120	49274186	3
p21.31	USP4	49277831	49340712	3
p21.31	GPX1	49357176	49358600	3
p21.31	RHOA	49359145	49412998	3
p21.31	TCTA	49412206	49416475	3
p21.31	AMT	49416775	49422753	3
p21.31	NICN1	49422946	49429326	3
p21.31	DAG1	49468703	49535618	3
p21.31	BSN-AS2	49549306	49554366	3
p21.31	BSN	49554489	49671545	3
p21.31	APEH	49674002	49683963	3
p21.31	MST1	49683947	49689501	3
p21.31	RNF123	49689499	49721529	3
p21.31	AMIGO3	49716834	49719695	3
p21.31	GMPPB	49716844	49723951	3
p21.31	IP6K1	49724294	49786542	3
p21.31	CDHR4	49790732	49799835	3
p21.31	FAM212A	49803254	49805030	3
p21.31	UBA7	49805207	49813946	3
p21.31	TRAIP	49828599	49856574	3
p21.31	CAMKV	49857988	49870222	3
p21.31	MST1R	49887002	49903873	3
p21.31	MON1A	49908862	49930173	3
p21.31	RBM6	49940007	50100045	3
p21.31	RBM5	50088908	50119021	3
p21.31	SEMA3F	50155045	50189075	3
p21.31	GNAT1	50191612	50196516	3
p21.31	SLC38A3	50205246	50221486	3
p21.31	GNAI2	50226292	50259355	3
p21.31	SEMA3B	50267558	50277546	3
p21.31	IFRD2	50287732	50292918	3
p21.31	HYAL3	50292831	50299468	3
p21.31	NAT6	50296402	50299421	3
p21.31	HYAL1	50299889	50312381	3
p21.31	HYAL2	50317790	50322906	3
p21.31	TUSC2	50320027	50328251	3
p21.31	RASSF1	50329782	50340980	3
p21.31	ZMYND10	50341110	50346852	3
p21.31	NPRL2	50347330	50351091	3
p21.31	CYB561D2	50350695	50358460	3
p21.31	TMEM115	50354749	50359610	3
p21.31	CACNA2D2	50362799	50504244	3
p21.31	C3orf18	50558025	50571027	3
p21.31	HEMK1	50569152	50596168	3
p21.2	CISH	50606490	50611831	3
p21.2	MAPKAPK3	50611520	50649297	3
p21.2	MIR4787	50675080	50675163	3
p21.2	DOCK3	50675241	51384198	3
p21.2	MANF	51385047	51389397	3
p21.2	RBM15B	51391268	51397908	3
p21.2	RAD54L2	51541144	51668667	3
p21.2	TEX264	51662693	51704323	3
p21.2	GRM2	51707070	51718613	3
p21.2	IQCF6	51778561	51779187	3
p21.2	IQCF3	51817604	51830856	3
p21.2	IQCF2	51861629	51863424	3
p21.2	IQCF5	51873721	51875584	3
p21.2	IQCF1	51894876	51903335	3
p21.2	RRP9	51933430	51941941	3
p21.2	PARP3	51942345	51948867	3
p21.2	GPR62	51955314	51957504	3
p21.2	PCBP4	51957454	51974016	3
p21.2	ABHD14B	51968510	51983409	3
p21.2	ABHD14A	51971426	51981199	3
p21.2	ABHD14A-ACY1	51974706	51989183	3
p21.2	ACY1	51983278	51989202	3
p21.2	RPL29	51993600	51995942	3
p21.2	DUSP7	52048919	52056550	3
p21.2	POC1A	52075253	52154690	3
p21.2	ALAS1	52198086	52214327	3
p21.2	TLR9	52221080	52226163	3
p21.2	TWF2	52228610	52239260	3
p21.2	PPM1M	52245793	52250597	3
p21.2	WDR82	52254421	52288020	3
p21.2	MIRLET7G	52268278	52268361	3
p21.2	GLYCTK	52287089	52293476	3
p21.2	MIR135A1	52294219	52294308	3
p21.1	DNAH1	52316319	52400491	3
p21.1	BAP1	52401013	52410350	3
p21.1	PHF7	52410657	52423641	3
p21.1	SEMA3G	52433053	52445085	3
p21.1	TNNC1	52451102	52454070	3
p21.1	NISCH	52455118	52493071	3
p21.1	STAB1	52495338	52524495	3
p21.1	NT5DC2	52524385	52535054	3
p21.1	PBRM1	52545352	52685917	3
p21.1	GNL3	52681156	52694492	3
